adjective, child prenominal count, child postnominal count, adult prenominal count, adult postnominal count
tougoudouc,0,0,1,0
arrivé,0,0,0,1
supprimé,0,0,0,1
costaud,0,0,0,1
spécifique,0,0,0,19
sous-terraine,0,0,0,2
universel,0,0,0,10
2007,0,0,0,1
égocentrique,0,0,0,2
concentrique,0,0,0,1
standard,0,0,0,8
typique,0,0,2,16
big,0,0,2,1
force,0,0,0,2
musical,0,0,3,30
esthétique,0,0,0,6
juste,0,0,2,3
syntaxique,0,0,0,5
lé~,0,0,1,0
fumeur,0,0,0,2
déplorable,0,0,0,2
sizième,0,0,2,0
structuré,0,0,0,2
perdu,2,0,2,5
intact,0,0,0,1
exotique,0,0,0,7
regarde-le,0,0,0,2
totalita,0,0,1,1
cocasse,0,0,0,1
psychologique,0,0,0,8
fiscal,0,0,0,3
concret,0,0,3,8
incurable,0,0,0,1
saint-antoine,0,0,0,1
carolo,0,0,0,1
diffère,0,0,0,1
fixe,0,0,1,13
maniériste,0,0,0,2
tiède,0,0,1,4
psychotechniques,0,0,0,1
pédestre,0,0,0,1
waou,0,0,0,1
étudiant,0,0,6,49
diffusé,0,0,0,1
insalubre,0,0,0,1
lacanienne,0,0,0,1
infranchissable,0,0,0,1
révolu,0,0,0,1
structurant,0,0,0,2
ornithologique,0,0,0,1
normatif,0,0,1,7
tournaisien,0,0,0,5
honteux,0,0,0,1
killing,0,0,0,1
est-à-dire,0,0,0,2
tout,0,0,1023,831
politicien,0,0,1,2
ré-~,0,0,1,1
injustifier,0,0,0,1
tchi,0,0,0,1
bernois,0,0,0,2
familia~,0,0,0,1
périssable,0,0,0,11
forain,0,0,0,3
tchoutchoutchou,0,0,0,1
frappé,0,0,0,1
pensé,0,0,0,1
groote,0,0,1,0
formel,0,0,0,3
auxquels,0,0,0,2
superbe,0,0,14,5
puisque,0,0,1,0
spontané,0,0,0,1
délicieux,0,0,2,4
ch-~,0,0,1,1
locals,0,0,0,3
gigogne,0,0,0,1
séduit,0,0,0,2
substantiel,0,0,0,1
moyenâgeux,0,0,0,1
hébreu,0,0,0,1
sphérique,0,0,0,1
récréatif,0,0,0,1
africain,0,0,1,38
ponctuel,0,0,0,4
dépoétisante,0,0,0,1
salvateur,0,0,0,1
grossier,0,0,1,10
golden,0,0,1,1
catastrophique,0,0,0,4
indéniable,0,0,0,1
miso,0,0,0,1
juif,0,0,0,12
c'-~,0,0,1,0
errant,0,0,0,4
battu,0,0,0,5
cool,0,0,1,4
abordable,0,0,0,4
pluri-annuel,0,0,0,1
semblable,0,0,1,1
provincial,0,0,0,2
fo-,0,0,1,0
taciturne,0,0,0,1
fini,19,1,2,7
économico-politiques,0,0,0,1
estudiantin,0,0,0,1
polaire,0,0,0,4
encoding,0,0,0,1
hélas,0,0,0,1
étroit,0,0,2,0
antipollution,0,0,0,1
protecteur,0,0,0,1
bénéfique,0,0,0,1
voulu,0,0,0,1
coordinateur,0,0,2,7
chimique,0,0,0,1
crû,0,0,0,1
spatial,0,0,0,1
musculaire,0,0,0,2
corse,0,0,0,13
débutant,0,0,1,6
éducateur,0,0,0,5
valable,0,0,0,3
véniel,0,0,0,3
désolant,0,0,0,1
secret,0,0,1,1
majestueux,0,0,1,1
allone,0,0,0,1
mwen,0,0,0,1
asiatique,0,0,1,27
originel,0,0,0,2
corallien,0,0,0,1
durée,0,0,0,2
romantique,0,0,0,5
bordeaux,0,0,0,1
harmonieux,0,0,0,2
tchécoslovaque,0,0,0,1
calcaire,0,0,0,4
fais-le,0,0,1,1
bruxellois,0,0,8,49
documentaire,0,0,0,1
protégé,0,0,0,2
mouillé,0,0,0,1
semi,0,0,4,0
grandissent,0,0,0,1
épidurale,0,0,0,3
hors de,0,0,4,0
trait,0,0,0,2
mystique,0,0,0,2
harry,0,0,1,1
primo-arrivants,0,0,0,1
écrit,1,0,4,18
gourmand,0,0,1,3
thématique,0,0,0,2
passif,0,0,0,2
chiite,0,0,1,0
tududut,0,0,0,1
énervé,0,0,0,2
imprimé,0,0,0,2
illetrisme,0,0,0,1
facultatif,0,0,0,1
imaginaire,0,0,2,2
paritaire,0,0,0,3
extra-textuel,0,0,0,2
tuguduc,0,0,0,1
doublé,0,0,1,2
bagagerie,0,0,2,2
anormal,0,0,0,2
métallique,0,0,1,1
ho~,0,0,0,2
situé,0,0,0,2
gosse,0,0,0,2
name,0,0,0,3
mettre,4,1,0,0
septième,0,0,13,2
orienté,0,0,1,0
félibrige,0,0,0,1
instant,0,0,0,1
répandu,0,0,0,1
gardé,1,0,0,2
x,0,0,0,1
printanier,0,0,0,3
inter-âge,0,0,0,1
sportif,0,0,2,29
fruité,0,0,0,3
végétal,0,0,0,4
original,0,0,1,12
culinaire,0,0,1,5
authentique,0,0,0,3
intercontinental,0,0,0,2
chnoques,0,0,0,1
thaïlandais,0,0,0,1
semi-industrielle,0,0,0,1
aride,0,0,0,1
préparatoire,0,0,4,8
offert,0,0,0,1
price,0,0,0,2
parfait,0,0,6,14
immeuble,0,0,0,1
accessoire,0,0,0,2
éducatif,0,0,0,8
estimatif,0,0,0,1
mécanique,0,0,0,9
sicilien,0,0,0,1
paraît-il,0,0,0,1
farci,0,0,0,2
récent,0,0,3,9
impromptu,0,0,0,1
férié,0,0,0,5
nordique,0,0,0,2
immense,1,0,13,12
olfactif,0,0,0,1
deuxième,1,1,237,9
implicite,0,0,0,1
salarié,0,0,1,2
sup,0,0,0,3
adoucissant,0,0,0,1
gréco-latin,0,0,0,1
usuel,0,0,0,1
modeste,0,0,0,3
caractéristique,0,0,1,0
qualitatif,0,0,0,3
beurre,0,0,0,1
ch-,0,0,3,4
clandestin,0,0,0,2
as-,0,0,1,0
bordelais,0,0,0,4
analytique,0,0,0,3
fatigant,0,0,0,1
étranger,0,0,3,63
frappant,0,0,0,1
terrestre,0,0,0,2
gigantestque,0,0,0,1
krish,0,0,1,0
bénévole,0,0,0,2
encyclopédique,0,0,0,1
monté,0,0,0,1
vomis-le,0,0,1,0
ferec,0,0,0,1
boursier,0,0,2,2
atmosphérique,0,0,0,2
innovant,0,0,0,1
obscène,0,0,0,2
sensible,0,0,1,8
bondé,0,0,0,2
treizième,0,0,6,2
inexpliquable,0,0,0,1
communal,0,0,0,39
adjoint,0,0,0,1
persique,0,0,0,1
nourriture,0,0,1,0
adoptif,0,0,0,2
pelé,0,0,0,1
moléculaire,0,0,0,1
sauf,0,0,0,1
nutella,0,0,0,1
efficace,0,0,1,1
diffus,0,0,0,1
tout le monde,0,0,0,1
horrible,0,0,2,10
intelligent,0,0,0,7
explicite,0,0,0,1
aventureux,0,0,0,2
surexcité,0,0,0,1
vide,0,0,2,15
ancestral,0,0,0,2
faible,0,0,6,8
periode,0,0,0,1
céleste,0,0,0,1
industriel,0,0,1,24
seizième,0,0,14,7
lucratif,0,0,0,2
chasseur,0,0,1,1
hallucinant,0,0,0,1
sanitaire,0,0,0,6
inconditionnel,0,0,0,1
turc,0,0,0,6
pulsionnel,0,0,0,1
limité,0,0,0,5
compris,0,0,0,1
qu-~,0,0,1,1
aisé,0,0,0,4
marrant,0,0,3,9
vas-y,0,0,1,4
gracieux,0,0,1,3
valeureux,0,0,1,1
caille,0,0,1,0
optimiste,0,0,0,1
parlementaire,0,0,0,3
bioéthique,0,0,0,1
gros,39,2,396,31
défilant,0,0,0,1
intercommunal,0,0,0,4
périer,0,0,0,1
moderne,0,0,1,31
abimé,0,0,0,1
cubain,0,0,0,1
insatiable,0,0,3,0
dérobé,0,0,0,1
suisse,0,0,5,25
brûlé,0,0,0,1
faux,0,0,7,5
e-~,0,0,1,1
heroic,0,0,1,1
dépressif,0,0,0,1
sauvez-le,0,0,0,1
statique,0,0,0,1
militant,0,0,0,5
kunnen,0,0,1,1
smalls,0,0,1,1
indélébile,0,0,0,1
douloureux,0,0,0,2
inconsidérable,0,0,0,1
autoroutier,0,0,0,2
biotique,0,0,0,1
aîné,0,0,0,15
foutu,0,0,3,2
adultérin,0,0,0,1
-tête,0,0,1,0
voyant,0,0,0,2
fermier,0,0,0,2
prégymnasiale,0,0,0,1
zievereir,0,0,0,1
mariné,0,0,0,1
soyeux,0,0,0,1
pécunier,0,0,1,0
onzième,0,0,7,6
semi-directe,0,0,0,1
vrai,1,0,197,7
tout#le#monde,0,0,0,1
grammaire,0,0,1,2
fon-,0,0,1,1
borgne,0,0,0,2
ble,0,0,0,1
principal,0,0,18,37
dramatique,0,0,0,9
marquant,0,0,0,2
chien,0,0,0,2
vénérable,0,0,0,1
fruitier,0,0,0,3
alarmant,0,0,0,1
portant,0,0,0,1
décroissant,0,0,0,1
écossais,0,0,1,2
illégitime,0,0,0,1
ervers,0,0,0,1
continu,0,0,0,17
comprenez-vous,0,0,0,1
court,0,0,1,33
confis,0,0,0,2
torse,1,0,0,0
véner,0,0,0,1
sobas,0,0,1,1
désaltérant,0,0,0,2
progressiste,0,0,0,1
folk,0,0,0,4
exact,0,0,1,15
ultra,0,0,1,0
locatif,0,0,0,5
physio,0,0,1,1
ovale,0,0,0,1
sait-il,0,0,0,2
juridique,0,0,1,5
nin,0,0,1,0
toléré,0,0,0,1
tapé,1,0,0,0
absent,1,0,0,2
armé,0,0,0,2
périodique,0,0,0,1
bouillant,0,0,0,2
chic,0,0,0,3
rural,0,0,1,11
int,0,0,0,1
définitif,0,0,0,5
dit-il,0,0,0,2
seconde,0,0,0,1
civil,0,0,0,17
malheureux,0,0,2,4
posé,0,0,0,1
objectal,0,0,0,2
framboise,0,0,0,3
tu,0,0,1,4
stupide,0,0,0,3
natur-raliste,0,0,0,1
mexicain,0,0,2,3
barbare,0,0,0,1
historien,0,0,0,1
expert,0,0,0,1
fina-,0,0,1,0
solaire,0,0,0,5
polyvalent,0,0,1,2
la-ville,0,0,0,1
vache,0,0,1,3
appliqué,0,0,0,1
ajax,0,0,0,1
animé,0,0,1,5
*ducasse*,0,0,0,2
généraliste,0,0,0,2
professionnel,0,0,5,120
rééls,0,0,0,2
comp-,0,0,0,1
personnel,0,0,2,72
furieux,0,0,1,1
modifié,0,0,0,2
souviens-toi,0,0,0,1
paradoxal,0,0,0,1
rayonnant,0,0,0,1
patrimonial,0,0,0,2
royal,0,0,1,26
correct,0,0,0,29
ethnique,0,0,0,4
ét-~,0,0,0,1
courant,0,0,2,24
malhabile,0,0,0,1
assidu,0,0,1,1
cocher,0,0,0,2
tamoul,0,0,0,1
grisonnant,0,0,0,1
bouvier,0,0,0,1
compatissant,0,0,0,1
patron,0,0,0,1
identitaire,0,0,0,5
saisi,0,0,2,2
champêtre,0,0,0,1
brioché,0,0,0,3
flottant,0,0,0,3
sorcier,0,0,0,2
crucial,0,0,0,1
hormono-dépendants,0,0,2,4
indissociable,0,0,0,1
néerlandophones,0,0,0,2
stroot,0,0,0,1
portree,0,0,0,1
pharmaceutique,0,0,0,4
folklorique,0,0,0,11
après,0,0,1,1
ümit,0,0,0,1
luxembourgeois,0,0,0,4
caricatural,0,0,0,1
ordinaire,0,0,0,5
inhabituel,0,0,0,2
clinique,0,0,0,2
électoral,0,0,0,7
décevant,0,0,0,1
romain,0,0,0,2
charles,0,0,0,1
vernaculaire,0,0,0,1
bienheureux,0,0,0,1
étincelant,0,0,0,1
amateur,0,0,0,4
eu-~,0,0,1,1
acariâtre,0,0,1,1
tou,0,0,0,4
griffu,0,0,0,1
coucou,0,0,1,0
trees,0,0,0,1
fi-~,0,0,0,2
convenable,0,0,0,1
tchèque,0,0,0,4
non-mondé,0,0,0,3
ordis,0,0,0,1
return,0,0,0,1
oriental,0,0,0,5
élégant,0,0,0,4
dionysiaque,0,0,0,1
cavalier,0,0,0,1
désagréable,0,0,0,2
cooker,0,0,0,1
démocrate,0,0,0,1
collectif,0,0,4,26
égoïste,0,0,0,2
publicitaire,0,0,0,1
chiant,0,0,0,3
intégral,0,0,0,1
sérieux,0,0,3,14
vaillant,0,0,0,2
chronique,0,0,0,5
occidental,0,0,1,13
cell,0,0,0,2
inter-sites,0,0,0,1
téléphonique,0,0,1,13
promettre,0,0,0,1
casse-gueule,0,0,0,2
monumental,0,0,1,3
sprich,0,0,2,0
funéraire,0,0,0,1
consulaire,0,0,0,1
*claude*,0,0,0,1
payé,0,0,0,3
émissaire,0,0,0,2
bâclé,0,0,0,1
invraisemblable,0,0,0,1
double,0,0,23,9
thaï,0,0,0,1
câlin,0,0,0,2
parlé,0,0,1,5
réducteur,0,0,0,1
opposé,0,0,0,1
dynamique,0,0,0,6
problématique,0,0,0,1
érotique,0,0,0,2
interculturel,0,0,1,3
fluvial,0,0,0,3
tokyoïte,0,0,0,1
médico-social,0,0,0,2
vestimentaire,0,0,1,5
japonais,0,0,3,86
rectoral,0,0,0,3
indirect,0,0,1,4
beau~,0,0,1,1
reconnu,0,0,0,1
ouverture,0,0,1,1
présent,0,0,9,21
crade,0,0,2,2
ample,0,0,0,1
à jeun,0,0,0,2
frutti,0,0,0,1
craintif,0,0,1,0
passionnel,0,0,0,4
chling,0,0,0,1
candidat,0,0,0,1
sobre,0,0,0,1
succint,0,0,0,1
glacé,0,0,0,2
festival,0,0,1,0
londonien,0,0,0,1
plastique,0,0,4,12
deug,0,0,0,1
indéfinissable,0,0,0,1
énormissime,0,0,0,1
violent,0,0,0,4
repiger,0,0,0,1
cru,0,0,0,6
cendré,0,0,0,1
polluant,0,0,0,1
délicat,0,0,1,3
approprié,0,0,0,1
heureux,0,0,2,6
inoccupé,0,0,0,2
antisyndicale,0,0,0,1
adapté,0,0,0,4
isolé,0,0,0,4
blème,0,0,0,1
relators,0,0,0,1
nul,3,0,2,3
cel~,0,0,0,1
telle ou telle,0,0,2,0
concerné,0,0,0,5
irakien,0,0,0,1
dièdre,0,0,0,2
fondamental,0,0,0,8
team,0,0,0,4
toulousaine,0,0,0,1
belge,0,0,1,74
présidentiel,0,0,0,4
non-convoqués,0,0,0,1
skills,0,0,0,1
fichu,0,0,0,1
primitif,0,0,0,3
ébénister,0,0,0,1
réputé,0,0,0,2
stressant,0,0,0,5
bronzé,0,0,0,1
habitable,0,0,0,2
classé,0,0,0,2
exerces-tu,0,0,0,2
dirigé,0,0,0,4
consis,0,0,0,1
traçant,0,0,0,2
lent,0,0,1,2
émérite,0,0,0,2
potager,0,0,0,1
déformé,0,0,0,3
prodigieux,0,0,1,2
troisième,0,0,131,9
européen,0,0,0,30
océanique,0,0,0,3
logique,0,0,1,2
vrêmint,0,0,1,0
rare,0,0,3,1
genevois,0,0,0,1
horloger,0,0,0,1
parmentier,0,0,0,1
indusriel,0,0,0,2
lorsque,0,0,0,1
intercommunautaire,0,0,0,1
grisâtre,0,0,0,1
rétroactif,0,0,0,1
lié,0,0,0,3
cancéreux,0,0,0,2
similaire,0,0,0,1
important,0,0,10,76
phrastique,0,0,0,1
bouti-,0,0,1,0
apr-,0,0,1,0
médiéval,0,0,0,2
musulman,0,0,1,9
géographique,0,0,0,21
adéquat,0,0,0,9
en place,0,0,2,27
of,0,0,2,2
réparti,0,0,0,1
hoc-,0,0,1,0
inconstant,0,0,0,1
aval,0,0,0,1
*pierrot*,0,0,0,1
raide,0,0,3,0
bolognaise,0,0,0,3
femelle,0,0,0,5
enfantin,0,0,0,4
mutualiste,0,0,0,2
horticole,0,0,0,1
fleur,0,0,0,2
puissant,0,0,0,7
autonome,0,0,0,4
parano,0,0,0,3
vierge,0,0,0,3
pu-~,0,0,0,1
minimum,0,0,0,2
black,0,0,0,3
respiratoire,0,0,0,1
virtuel,0,0,1,3
thermique,0,0,0,3
demi-circulaire,0,0,0,1
comparé,0,0,0,5
vol-~,0,0,1,0
terre à terre,0,0,0,3
rôti,0,0,1,1
innommable,0,0,0,1
gouvernemental,0,0,0,3
inverse,0,0,1,12
baroque,0,0,0,2
mapalea,0,0,0,1
baptismal,0,0,0,1
menacé,0,0,0,1
dénudé,0,0,0,1
personnalisé,0,0,0,2
infect,0,0,0,2
préparé,0,0,0,1
fortifié,0,0,0,2
incorrect,0,0,0,1
ardéchois,0,0,0,1
par-~,0,0,0,2
réservé,0,0,0,1
strict,0,0,0,1
blockbusters,0,0,0,2
désert,0,0,0,3
audit,0,0,0,2
tipiak,0,0,0,1
aquatique,0,0,0,1
congelé,0,0,0,1
dissident,0,0,0,1
épousé,0,0,0,2
étendu,0,0,0,2
amazonien,0,0,0,5
pel,0,0,3,3
nerveux,0,0,0,3
monstrueux,0,0,0,4
imagnaire,0,0,1,1
extra,0,0,1,1
gen-,0,0,1,0
riche,0,0,2,8
touffu,0,0,0,1
inaccessible,0,0,0,1
trottoire,0,0,0,2
plein,1,0,111,50
routier,0,0,0,6
ori~,0,0,1,1
fâché,1,0,0,0
walking,0,0,0,1
prosaïque,0,0,0,1
triste,0,0,2,4
pretty,0,0,1,1
futé,0,0,0,2
pré-,0,0,1,0
raisonnable,0,0,0,3
zou,0,0,1,1
exogène,0,0,0,1
sectoriel,0,0,1,1
botanique,0,0,0,2
pur,0,0,7,27
établi,0,0,0,2
indifférencié,0,0,1,0
panique,0,0,0,3
ce-~,0,0,0,1
financier,0,0,3,53
exceptionnel,0,0,0,16
park,0,0,0,1
vieillissant,0,0,0,1
partis,1,0,2,4
emphatique,0,0,0,2
anax,0,0,0,1
franc,0,0,2,9
large,0,0,4,5
alterné,0,0,0,1
mériel,0,0,0,1
enflammé,0,0,0,1
vélib,0,0,0,1
électrique,0,0,1,24
ré-,0,0,1,1
orchestral,0,0,0,1
innombrable,0,0,0,1
vif,0,0,1,7
équitable,0,0,0,3
infini,0,0,0,1
passé,0,0,0,2
culte,0,0,0,3
tsu,0,0,1,1
essentiel,0,0,1,19
signé,0,0,0,1
vécu,0,0,1,1
collégial,0,0,0,1
parait-il,0,0,1,1
superficiel,0,0,0,3
street,0,0,1,2
alderic,0,0,0,1
gigantesque,0,0,0,1
péruvien,0,0,0,3
will,0,0,0,1
mutant,0,0,0,2
auto-érotique,0,0,0,1
garni,0,0,0,2
télévisé,0,0,0,2
contradictoire,0,0,0,2
américain,0,0,3,35
pieux,0,0,0,2
maternel,0,0,3,30
extraverti,0,0,0,1
inférieur,0,0,0,2
crispé,0,0,0,1
mau-,0,0,1,0
volumique,0,0,0,1
clore,0,0,0,1
supers,0,0,2,0
parce,0,0,8,9
imp~,0,0,0,2
chaud,1,1,3,27
concurrentiel,0,0,0,1
rétrograde,0,0,0,2
bidon,0,0,0,1
sacré,0,0,25,11
*eustache*,0,0,0,3
gastronomique,0,0,1,4
bredouille,0,0,0,1
autre,0,0,1606,15
increvable,0,0,0,1
fumé,0,0,0,2
comparatif,0,0,0,1
fantastique,0,0,2,11
vacant,0,0,0,1
kinésiologique,0,0,0,1
consécutif,0,0,0,2
scolaire,0,0,0,93
deyrolle,0,0,0,1
num-~,0,0,0,2
solitaire,0,0,0,1
djembés,0,0,0,1
introduit,0,0,0,1
anglophone,0,0,1,4
établ-~,0,0,0,1
exorbitant,0,0,0,2
est-il,0,0,1,8
flamboyant,0,0,0,1
bon,26,1,941,20
xxxx,0,0,1,0
méthodique,0,0,0,5
tel ou tel,0,0,6,3
gardez-les,0,0,0,1
carotte,0,0,0,2
naturel,0,0,0,34
filmé,0,0,0,1
désargenté,0,0,0,1
dur,6,0,4,35
enviable,0,0,0,1
neuf,10,12,2,11
lui-,0,0,1,0
aéré,0,0,0,1
facile,0,0,2,17
initial,0,0,0,4
désertique,0,0,0,1
nés,0,0,0,1
imparfait,0,0,1,0
sulfureux,0,0,0,1
marqué,0,0,1,2
dixième,0,0,3,1
abordé,0,0,0,4
silex-paille,0,0,0,1
positif,0,0,0,28
impur,0,0,1,0
cafèt,0,0,1,0
investi,0,0,1,0
discal,0,0,0,2
sensationnel,0,0,0,2
*sophie*,0,0,0,1
générique,0,0,0,2
sourd,0,0,0,1
adolescent,0,0,0,2
dérivé,0,0,0,1
fantaisie,0,0,0,1
employeur,0,0,0,1
nuisants,0,0,0,1
socialiste,0,0,4,7
départemental,0,0,2,23
adopté,0,0,0,1
temps~,0,0,0,1
certain,0,0,275,33
civique,0,0,0,7
macabre,0,0,0,1
stratégique,0,0,1,15
télégraphique,0,0,0,1
divers,0,0,27,15
idéologique,0,0,0,4
géo,0,0,0,2
informatique,0,0,0,25
éventuel,0,0,3,4
minier,0,0,0,2
funèbre,0,0,0,1
nippon,0,0,0,1
nain,0,0,0,2
extrême,0,0,0,4
cyclable,0,0,0,2
aviaire,0,0,0,1
unilingue,0,0,1,2
énième,0,0,3,0
céüse,0,0,0,1
délirant,0,0,0,1
cultivé,0,0,0,1
fraternel,0,0,0,3
pénétrant,0,0,1,0
indifférent,0,0,0,2
illustré,0,0,1,5
illimité,0,0,0,4
sociable,0,0,1,0
autorise,0,0,0,2
spastique,0,0,0,1
cardiaque,0,0,0,9
radical,0,0,2,10
mythologique,0,0,0,1
oculaire,0,0,0,2
aristotélicien,0,0,0,1
persan,0,0,1,2
vague,0,0,0,3
na-~,0,0,1,0
lexical,0,0,0,7
théorique,0,0,0,18
photo-électrique,0,0,0,2
alé-,0,0,1,0
rectionnel,0,0,0,3
difficile,1,0,0,46
workout,0,0,0,1
guérisseur,0,0,0,1
attractif,0,0,0,2
comorien,0,0,0,1
moche,0,0,1,0
no,0,0,1,0
explicatif,0,0,0,1
anaérobie,0,0,0,2
fitness,0,0,0,2
autrichien,0,0,0,2
tournant,0,0,0,5
genre,0,0,1,0
re-vérifient,0,0,0,1
flat,0,0,1,0
jardinier,0,0,1,0
québecois,0,0,0,1
télépho~,0,0,1,1
amphibie,0,0,0,1
terreux,0,0,0,1
réglementaire,0,0,0,6
marchand,0,0,2,6
acide,0,0,0,3
bouch',0,0,1,0
entré,0,0,0,1
délivre-moi,0,0,0,1
rédimé,0,0,0,2
global,0,0,0,29
vulgaire,0,0,1,4
métis,0,0,0,1
prédéfinies,0,0,0,2
collaboratif,0,0,0,1
tokoro,0,0,0,1
organisé,0,0,0,5
multi-sites,0,0,0,1
vertigineux,0,0,0,1
scandaleux,0,0,0,1
spé,0,0,0,1
multitâches,0,0,0,1
fourré,0,0,0,4
excessif,0,0,0,3
intense,0,0,3,0
amusant,0,0,0,4
accumulé,0,0,0,1
territorial,0,0,0,13
spécialiste,0,0,1,1
bande,0,0,1,0
lourdingue,0,0,1,0
*gotio*,0,0,0,1
lorrain,0,0,0,4
antipathique,0,0,0,2
méthodologique,0,0,0,1
impossible,0,0,1,6
traditionelle,0,0,0,1
clair,0,0,5,16
piquant,0,0,0,1
employé,0,0,0,2
criminel,0,0,0,2
feuilleté,0,0,0,1
multinational,0,0,0,1
eux-mêmes,0,0,0,2
fait-il,0,0,4,1
intermédiaire,0,0,0,7
branché,0,0,1,2
alcoolique,0,0,0,5
ultra-minoritaire,0,0,0,1
tout-le-monde,0,0,0,1
bio,0,0,1,10
viral,0,0,0,1
lepla,0,0,0,1
success,0,0,0,1
xxx,0,0,0,1
grammatical,0,0,0,10
cottet,0,0,0,1
audiovisuel,0,0,1,6
minimal,0,0,0,2
intermédiare,0,0,0,1
et-le-jeu-de-dramatique,0,0,0,1
lège,0,0,0,1
socio-économique,0,0,0,1
communi-~,0,0,1,1
fees,0,0,0,2
copieux,0,0,0,1
diplomatique,0,0,0,4
pressé,0,0,0,1
cheeses,0,0,0,1
froufroufrou,0,0,1,0
ridicule,0,0,0,3
proch,0,0,0,3
marie-christine,0,0,0,2
énoncé,0,0,0,1
circulaire,0,0,0,1
pléthorique,0,0,0,1
hennuyer,0,0,0,1
lointain,0,0,1,4
cantonal,0,0,0,5
rapidos,0,0,0,1
intérieur,0,0,1,14
administratif,0,0,5,31
ôte-le,0,0,0,1
directionnel,0,0,0,1
germain,0,0,0,1
international,0,0,2,43
climatique,0,0,0,4
chevalin,0,0,0,1
aller-retour,0,0,0,3
postopératoire,0,0,0,1
galant,0,0,0,2
tropical,0,0,1,6
brutal,0,0,0,1
céronnée,0,0,0,1
anticlérical,0,0,0,1
geweest,0,0,0,1
perçant,0,0,0,1
alerte,0,0,2,1
colombien,0,0,0,8
aéronautique,0,0,0,2
créé,0,0,0,1
rocheux,0,0,0,2
architectural,0,0,0,8
tripartite,0,0,0,2
sarcastique,0,0,1,0
tatata,0,0,1,1
cantonais,0,0,0,3
horizontal,0,0,1,2
aspire,0,0,0,1
confortable,0,0,1,0
tunisien,0,0,1,3
franc-maçon,0,0,0,1
embêtant,0,0,0,2
baissé,0,0,0,2
joli,9,0,41,10
malade,0,0,3,13
premier,4,2,791,38
pong,0,0,0,3
régional,0,0,3,89
bleu,7,1,2,47
7,0,0,0,1
techno,0,0,0,1
nautique,0,0,0,3
rému,0,0,0,10
émotionnel,0,0,0,3
express,0,0,0,2
life,0,0,0,1
tel et tel,0,0,2,0
involontaire,0,0,0,1
provençal,0,0,1,7
égyptien,0,0,0,2
cannibale,0,0,0,1
impeccable,0,0,0,9
sympa,0,0,8,41
assis,0,0,0,4
libanais,0,0,0,5
sur-marne,0,0,0,1
agree,0,0,0,1
créateur,0,0,0,1
providentiel,0,0,0,1
restrictif,0,0,0,1
bouilli,0,0,0,1
instrumental,0,0,1,4
terminal,0,0,4,2
gent,0,0,1,0
russe,0,0,0,6
comptable,0,0,0,4
confondu,0,0,0,4
soviétique,0,0,0,2
symphonique,0,0,1,1
puriste,0,0,0,1
pourri,0,0,1,9
ailé,0,0,0,2
médian,0,0,6,9
idiomatique,0,0,0,1
acrobatique,0,0,0,3
sadique,0,0,0,1
combientième,0,0,1,0
strident,0,0,0,1
inerte,0,0,0,1
épouvantable,0,0,1,6
praticable,0,0,0,2
ondoyant,0,0,0,1
équestre,0,0,0,1
inné,0,0,0,1
consultatif,0,0,0,1
bio-~,0,0,1,0
infâme,0,0,2,0
croissant,0,0,0,2
déterminant,0,0,0,3
affectif,0,0,0,8
magique,0,0,0,14
adjacent,0,0,0,1
botté,0,0,0,1
biologique,0,0,0,14
cube,0,0,0,2
ergonomique,0,0,0,1
model,0,0,0,1
connait,0,0,1,1
journalistique,0,0,0,15
solide,0,0,0,5
tenable,0,0,0,1
vidéoludique,0,0,0,1
anti-suicide,0,0,0,1
scénique,0,0,0,3
deu-xième,0,0,1,0
tardif,0,0,0,1
pérenne,0,0,0,1
brésilien,0,0,0,6
éditorial,0,0,0,5
local,0,0,2,64
interrompu,0,0,0,1
pavillonnaire,0,0,0,1
gratuit,0,0,0,9
italien,0,0,2,35
géopgraphie,0,0,0,1
défini,0,0,0,2
antidépresseur,0,0,0,1
intéressant,0,0,1,47
na,0,0,0,1
devant,0,0,0,1
ferme,0,0,0,5
phuit,0,0,0,1
rempli,0,0,0,1
subit,0,0,0,2
comptemporaine,0,0,0,1
violet,1,0,0,2
sixième,0,0,19,3
gladiator,0,0,0,1
frontal,0,0,0,2
général,0,0,7,190
mensuel,0,0,4,20
démocratique,0,0,0,6
infinitif,0,0,0,1
humanoïde,0,0,0,1
hispano-américain,0,0,0,1
élémentaire,0,0,1,2
mature,0,0,1,0
familier,0,0,0,8
timide,0,0,1,0
co-~,0,0,1,0
ambulant,0,0,0,2
nu,2,0,5,16
sept-mille-cinq-cents,0,0,0,1
semble-t-il,0,0,0,1
connu,0,0,2,3
strobinellou,0,0,0,1
compensatoire,0,0,0,3
brun,0,2,1,5
fou,1,0,2,23
monogamiques,0,0,0,1
faites-moi,0,0,1,0
tatatatata,0,0,1,0
connexe,0,0,0,1
immaculé,0,0,1,1
postal,0,0,0,10
cracra,0,0,0,2
ouvert,0,0,0,23
imagine,0,0,1,2
bénit,0,0,0,1
représentatif,0,0,0,2
*bogasse*,0,0,0,1
basé,0,0,0,1
tranché,0,0,0,2
imprévisible,0,0,0,1
urgent,0,0,0,3
inexpérimenté,0,0,0,1
café,0,0,0,4
anti-sismiques,0,0,0,1
bilingue,0,0,0,5
parlant,0,0,0,2
en vue,0,0,0,1
moyen,1,0,7,40
hivernal,0,0,0,1
