Lemma, Full Count, Older, Younger, Older Prenominal, Older Postnominal, Younger Prenominal, Younger Postnominal
caché,=7,=5,=2,=1,=4,=1,=1
perplexe,=1,=1,=0,=0,=1,=0,=0
tiède,=2,=2,=0,=0,=2,=0,=0
hérisson,=1,=1,=0,=0,=1,=0,=0
grand,=453,=288,=165,=280,=8,=159,=6
efficace,=3,=3,=0,=2,=1,=0,=0
zéro,=2,=2,=0,=0,=2,=0,=0
télescopique,=1,=1,=0,=0,=1,=0,=0
différent,=3,=3,=0,=0,=3,=0,=0
mini,=1,=1,=0,=1,=0,=0,=0
sucré,=1,=1,=0,=0,=1,=0,=0
neuf,=3,=3,=0,=0,=3,=0,=0
tel,=2,=2,=0,=2,=0,=0,=0
élastique,=1,=1,=0,=0,=1,=0,=0
court,=18,=9,=9,=1,=8,=1,=8
vieux,=13,=12,=1,=12,=0,=1,=0
immonde,=1,=1,=0,=0,=1,=0,=0
difficile,=5,=5,=0,=2,=3,=0,=0
radical,=1,=1,=0,=1,=0,=0,=0
fermé,=1,=0,=1,=0,=0,=0,=1
jaloux,=1,=1,=0,=0,=1,=0,=0
effrayant,=4,=4,=0,=1,=3,=0,=0
excité,=1,=1,=0,=1,=0,=0,=0
mou,=1,=1,=0,=1,=0,=0,=0
solide,=1,=1,=0,=0,=1,=0,=0
embêtant,=1,=1,=0,=1,=0,=0,=0
mouillé,=2,=1,=1,=0,=1,=0,=1
pénible,=2,=2,=0,=2,=0,=0,=0
fleuri,=3,=3,=0,=0,=3,=0,=0
drôle,=1,=1,=0,=0,=1,=0,=0
ennemi,=1,=1,=0,=0,=1,=0,=0
nouveau,=41,=40,=1,=39,=1,=1,=0
incomplet,=1,=1,=0,=0,=1,=0,=0
violent,=1,=1,=0,=1,=0,=0,=0
cygnes,=1,=1,=0,=0,=1,=0,=0
fatigué,=1,=0,=1,=0,=0,=1,=0
circulaire,=1,=1,=0,=0,=1,=0,=0
prêt,=8,=4,=4,=2,=2,=1,=3
câlin,=1,=1,=0,=0,=1,=0,=0
entièr,=1,=1,=0,=0,=1,=0,=0
extraordinaire,=1,=1,=0,=0,=1,=0,=0
joyeux,=4,=4,=0,=4,=0,=0,=0
nu,=1,=1,=0,=0,=1,=0,=0
des::petites,=1,=1,=0,=1,=0,=0,=0
rouge,=203,=146,=57,=5,=141,=2,=55
délicat,=1,=1,=0,=1,=0,=0,=0
coincé,=3,=2,=1,=0,=2,=0,=1
musicien,=1,=1,=0,=0,=1,=0,=0
bizarre,=4,=4,=0,=3,=1,=0,=0
sacré,=3,=3,=0,=3,=0,=0,=0
tranquille,=6,=6,=0,=0,=6,=0,=0
remarque,=1,=1,=0,=0,=1,=0,=0
en_bas,=7,=5,=2,=0,=5,=0,=2
juste,=6,=6,=0,=5,=1,=0,=0
fantastique,=1,=1,=0,=0,=1,=0,=0
extérieur,=1,=1,=0,=0,=1,=0,=0
ambulant,=2,=2,=0,=0,=2,=0,=0
marrant,=4,=4,=0,=3,=1,=0,=0
désolé,=1,=1,=0,=1,=0,=0,=0
final,=4,=4,=0,=0,=4,=0,=0
délicieux,=1,=1,=0,=0,=1,=0,=0
vert,=130,=97,=33,=3,=94,=3,=30
faux,=4,=4,=0,=3,=1,=0,=0
japonais,=1,=1,=0,=0,=1,=0,=0
pompier,=14,=0,=14,=0,=0,=1,=13
fort,=17,=9,=8,=1,=8,=0,=8
maussade,=1,=1,=0,=0,=1,=0,=0
canaille,=1,=1,=0,=0,=1,=0,=0
italien,=1,=1,=0,=0,=1,=0,=0
plein,=13,=13,=0,=4,=9,=0,=0
fameux,=2,=2,=0,=2,=0,=0,=0
chaise+longue,=1,=1,=0,=1,=0,=0,=0
étonnant,=2,=2,=0,=2,=0,=0,=0
complémentaire,=1,=1,=0,=0,=1,=0,=0
grognon,=1,=1,=0,=0,=1,=0,=0
gastronomique,=1,=1,=0,=0,=1,=0,=0
sec,=1,=0,=1,=0,=0,=1,=0
ancien,=2,=2,=0,=2,=0,=0,=0
soufflant,=1,=0,=1,=0,=0,=1,=0
perturbateur,=1,=1,=0,=0,=1,=0,=0
chouette,=2,=2,=0,=0,=2,=0,=0
râpé,=1,=0,=1,=0,=0,=0,=1
rose,=52,=30,=22,=3,=27,=0,=22
préféré,=3,=2,=1,=0,=2,=1,=0
dingo,=1,=1,=0,=0,=1,=0,=0
particulier,=6,=6,=0,=0,=6,=0,=0
ailé,=1,=1,=0,=0,=1,=0,=0
pendant,=1,=1,=0,=0,=1,=0,=0
brillant,=4,=1,=3,=0,=1,=0,=3
malin,=3,=3,=0,=0,=3,=0,=0
technique,=1,=1,=0,=0,=1,=0,=0
deux,=3,=2,=1,=1,=1,=1,=0
acoustique,=2,=2,=0,=1,=1,=0,=0
rond,=49,=6,=43,=1,=5,=0,=43
châtain,=1,=0,=1,=0,=0,=0,=1
enchanté,=1,=1,=0,=0,=1,=0,=0
lourd,=15,=12,=3,=10,=2,=1,=2
officiel,=1,=1,=0,=0,=1,=0,=0
roux,=10,=9,=1,=0,=9,=0,=1
vilain,=2,=0,=2,=0,=0,=2,=0
mien,=2,=2,=0,=2,=0,=0,=0
compris,=6,=6,=0,=6,=0,=0,=0
fragile,=1,=1,=0,=0,=1,=0,=0
affreux,=1,=1,=0,=1,=0,=0,=0
jaune,=111,=74,=37,=0,=74,=5,=32
deuxième,=29,=28,=1,=28,=0,=1,=0
ras,=1,=1,=0,=1,=0,=0,=0
même,=313,=254,=59,=252,=2,=57,=2
crapule,=1,=1,=0,=0,=1,=0,=0
dingue,=1,=1,=0,=0,=1,=0,=0
scintille,=1,=1,=0,=0,=1,=0,=0
malheureux,=3,=2,=1,=1,=1,=1,=0
fin,=1,=1,=0,=0,=1,=0,=0
orange,=27,=25,=2,=0,=25,=0,=2
intéressant,=4,=4,=0,=2,=2,=0,=0
aies,=1,=1,=0,=1,=0,=0,=0
évident,=1,=1,=0,=1,=0,=0,=0
seconde,=1,=1,=0,=1,=0,=0,=0
creux,=2,=2,=0,=1,=1,=0,=0
craquantes,=1,=1,=0,=0,=1,=0,=0
libre,=1,=1,=0,=0,=1,=0,=0
gauche,=12,=11,=1,=0,=11,=0,=1
